,Casa Kanabrí Hostal Boutique,Wanderlust District,Hostal Juarez,Casa Pancha,Hostel Barrio Downtown Mexico City,U-Co Roma Coliving,Viajero CDMX Centro Hostel,Casa Eufemia Hostel,Hostal Regina Centro Historico Ciudad de Mexico,Casa Pepe,Hostal Cuija Coyoacan,Fungi Hostal Condesa,Massiosare El Hostel,U-Co Juarez,Hostel Home,Mexico City Hostel,Suites DF Hostel,HoM Balderas,Hostel Airport Mexico DF,Hostel Mundo Joven Catedral,CASA MX alameda,Downtown Beds,Capsule Hostel Mexico City,Metro Hostal Boutique,CASA MX centro,HoM Monterrey,Selina Mexico City Downtown,Mexiqui Zocalo,Hostel Amigo,Roomies Hostel Condesa,Roma Norte 6,Roomies Hostal Parque Mexico,Roomies Hostel Roma,Mala Vecindad Beer Hostel CDMX,Hostel Condesa Chapultepec,YWCA Centro Historico,Hostal Emperador,Casa Tamayo,Mala Vecindad Centro Historico,Bonsai Second Home,Roomies Hostel Centro Medico,Hotel Amigo Suites Downtown,Cadillac Boutique Hotel,Armonik Suites,Ayenda Oasis Airport,Anys Hostal,B&B Mexico Roma Norte,Condesa Haus,Distrito Condesa Rooms and Suites
0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
9,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
